layer	              	            mean_abs    Ähnlichkeit
layer_1_ofmap_64x64x32_hwc.bin		0.593689	98.04
layer_2_ofmap_64x64x32_hwc.bin		5.141296	92.66
layer_3_ofmap_64x64x64_hwc.bin		3.580391	88.51
layer_4_ofmap_32x32x64_hwc.bin		3.396423	82.95
layer_5_ofmap_32x32x128_hwc.bin		4.362274	72.50
layer_6_ofmap_32x32x128_hwc.bin		4.972137	69.77
layer_7_ofmap_32x32x128_hwc.bin		7.534615	60.77
layer_8_ofmap_16x16x128_hwc.bin		11.716492	57.05
layer_9_ofmap_16x16x256_hwc.bin	    11.747559	51.67
layer_10_ofmap_16x16x256_hwc.bin	10.394775	56.36
layer_11_ofmap_16x16x256_hwc.bin	8.180527	66.13
layer_12_ofmap_8x8x256_hwc.bin		24.612366	47.45
layer_13_ofmap_8x8x512_hwc.bin		20.063751	39.74
layer_14_ofmap_8x8x512_hwc.bin		21.680145	44.02
layer_15_ofmap_8x8x512_hwc.bin		23.277405	26.46
layer_16_ofmap_8x8x512_hwc.bin		91.166534	16.24
layer_17_ofmap_8x8x512_hwc.bin	    39.101044	29.18
layer_18_ofmap_8x8x512_hwc.bin	    35.974792	31.63
layer_19_ofmap_8x8x512_hwc.bin	    35.512939	25.80
layer_20_ofmap_8x8x512_hwc.bin	    61.933777	10.42
layer_21_ofmap_8x8x512_hwc.bin	    32.165314	43.19
layer_22_ofmap_8x8x512_hwc.bin	    30.358704	31.33
layer_23_ofmap_8x8x512_hwc.bin	    54.865143	48.71
layer_24_ofmap_4x4x512_hwc.bin	    138.006958	9.44
layer_25_ofmap_4x4x1024_hwc.bin	    85.523926	30.00
layer_26_ofmap_2x2x1024_hwc.bin	    90.691650	10.72
layer_27_ofmap_2x2x1024_hwc.bin	    34.785645	55.52
