ROM full-model build report (c_y_x_k layout)
depthwise layout: y_x_c (k folded into c)
layers: 27
weights_rom_bytes: 3185088
bias_rom_bytes:    43776
shift_rom_bytes:   43776
mult_rom_bytes:    43776

layer,w_off,b_off,s_off,m_off,w_bytes,b_bytes,s_bytes,m_bytes,cout,weights_name,shape
layer_001_CONV_2D,0,0,0,0,864,128,128,128,32,L001_conv_weights,32x3x3x3
layer_002_DEPTHWISE_CONV_2D,864,128,128,128,288,128,128,128,32,L002_dw_weights,1x3x3x32
layer_003_CONV_2D,1152,256,256,256,2048,256,256,256,64,L003_conv_weights,64x1x1x32
layer_004_DEPTHWISE_CONV_2D,3200,512,512,512,576,256,256,256,64,L004_dw_weights,1x3x3x64
layer_005_CONV_2D,3776,768,768,768,8192,512,512,512,128,L005_conv_weights,128x1x1x64
layer_006_DEPTHWISE_CONV_2D,11968,1280,1280,1280,1152,512,512,512,128,L006_dw_weights,1x3x3x128
layer_007_CONV_2D,13120,1792,1792,1792,16384,512,512,512,128,L007_conv_weights,128x1x1x128
layer_008_DEPTHWISE_CONV_2D,29504,2304,2304,2304,1152,512,512,512,128,L008_dw_weights,1x3x3x128
layer_009_CONV_2D,30656,2816,2816,2816,32768,1024,1024,1024,256,L009_conv_weights,256x1x1x128
layer_010_DEPTHWISE_CONV_2D,63424,3840,3840,3840,2304,1024,1024,1024,256,L010_dw_weights,1x3x3x256
layer_011_CONV_2D,65728,4864,4864,4864,65536,1024,1024,1024,256,L011_conv_weights,256x1x1x256
layer_012_DEPTHWISE_CONV_2D,131264,5888,5888,5888,2304,1024,1024,1024,256,L012_dw_weights,1x3x3x256
layer_013_CONV_2D,133568,6912,6912,6912,131072,2048,2048,2048,512,L013_conv_weights,512x1x1x256
layer_014_DEPTHWISE_CONV_2D,264640,8960,8960,8960,4608,2048,2048,2048,512,L014_dw_weights,1x3x3x512
layer_015_CONV_2D,269248,11008,11008,11008,262144,2048,2048,2048,512,L015_conv_weights,512x1x1x512
layer_016_DEPTHWISE_CONV_2D,531392,13056,13056,13056,4608,2048,2048,2048,512,L016_dw_weights,1x3x3x512
layer_017_CONV_2D,536000,15104,15104,15104,262144,2048,2048,2048,512,L017_conv_weights,512x1x1x512
layer_018_DEPTHWISE_CONV_2D,798144,17152,17152,17152,4608,2048,2048,2048,512,L018_dw_weights,1x3x3x512
layer_019_CONV_2D,802752,19200,19200,19200,262144,2048,2048,2048,512,L019_conv_weights,512x1x1x512
layer_020_DEPTHWISE_CONV_2D,1064896,21248,21248,21248,4608,2048,2048,2048,512,L020_dw_weights,1x3x3x512
layer_021_CONV_2D,1069504,23296,23296,23296,262144,2048,2048,2048,512,L021_conv_weights,512x1x1x512
layer_022_DEPTHWISE_CONV_2D,1331648,25344,25344,25344,4608,2048,2048,2048,512,L022_dw_weights,1x3x3x512
layer_023_CONV_2D,1336256,27392,27392,27392,262144,2048,2048,2048,512,L023_conv_weights,512x1x1x512
layer_024_DEPTHWISE_CONV_2D,1598400,29440,29440,29440,4608,2048,2048,2048,512,L024_dw_weights,1x3x3x512
layer_025_CONV_2D,1603008,31488,31488,31488,524288,4096,4096,4096,1024,L025_conv_weights,1024x1x1x512
layer_026_DEPTHWISE_CONV_2D,2127296,35584,35584,35584,9216,4096,4096,4096,1024,L026_dw_weights,1x3x3x1024
layer_027_CONV_2D,2136512,39680,39680,39680,1048576,4096,4096,4096,1024,L027_conv_weights,1024x1x1x1024
